Feature,Lasso AUC,Lasso Recall,EN AUC,EN Recall,RFE AUC,RFE Recall,RCV AUC,RCV Recall,SUM
IRDSTNGD30,0,0,0,0,0,1,0,0,1
IRFAMSSI,0,0,0,0,0,1,0,0,1
IMPREMEM,0,0,0,0,0,1,0,0,1
IIIMPHHLD,0,0,0,0,1,0,0,0,1
IIIMPHHLDM,0,0,0,0,1,0,0,0,1
IIIMPPEOP,0,0,0,0,1,0,0,0,1
IIIMPPEOPM,0,0,0,0,1,0,0,0,1
IIIMPWORK,0,0,0,0,1,0,0,0,1
SNRLFRND,0,0,0,0,0,1,0,0,1
SPDPSTYR,0,0,0,0,1,0,0,0,1
SUTOUTSTM,0,0,0,1,0,0,0,0,1
HALLUCOT4,0,0,1,0,0,0,0,0,1
IIBZONMYR,0,0,0,0,0,1,0,0,1
IICOSUIPLNYR,0,0,0,0,1,0,0,0,1
IIDSTHOP30,0,0,0,0,1,0,0,0,1
DSTHOP30,0,0,0,0,0,1,0,0,1
EDUD5PNRUNM,0,0,0,0,1,0,0,0,1
FLTMRKEVER,1,0,0,0,0,0,0,0,1
FUSMKLSS18,0,0,1,0,0,0,0,0,1
DIABETEAG,0,0,0,0,0,1,0,0,1
DIFOBTMRJ,0,0,1,0,0,0,0,0,1
DRVINALDRG,0,1,0,0,0,0,0,0,1
BKDRVINF,0,0,0,0,1,0,0,0,1
BKMVTHFT,0,0,0,0,0,1,0,0,1
CAIDCHIP,0,0,0,0,0,1,0,0,1
CAMHPROB2,0,0,0,0,0,1,0,0,1
ADWRPREG,0,1,0,0,0,0,0,0,1
UADMONY,1,0,0,0,0,0,0,0,1
UADOTHM,0,0,0,0,1,0,0,0,1
UADPEOP,1,0,0,0,0,0,0,0,1
